,Si,Fe,Cu,Mn,Mg,Cr,Ni,Zn,Ga,V,Ti,Zr,Bi,Pb,Li,B,Sc,Be,S_A_Temp,Ageing_Temp,Ageing_Time,Air,Furnace,Water,6% Work Hardening,7% Work Hardening,Compression,Cryrolling,HT Work Hardening,Rolling,Stretch,Work Hardening Level 1,Work Hardening Level 2,Work Hardening Level 4,Work Hardening Level 6,Work Hardening Level 8,Work hardening,none_strain,Artificial,Natural,Overageing,none_age,Partial Annealed,Stablized,none_treat,Drawn,Extruded,Forged,Rolled,Thixoformed,unspecified_man,Tube,Wire,Sheet,Bar,unspecified_prod,Plate,Foil,Rod,Die Forging,Ring,Forging,Ingot,Fin Stock,UTS,YTS,ELONGATION
16,0.125,0.155,0.025,0.015,0.015,0.0,0.0,0.025,0.0,0.025,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,25.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,62.0,,25.0
17,0.125,0.155,0.025,0.015,0.015,0.0,0.0,0.025,0.0,0.025,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,131.0,124.0,6.0
18,0.125,0.155,0.025,0.015,0.015,0.0,0.0,0.025,0.0,0.025,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,110.0,103.0,8.0
19,0.125,0.155,0.025,0.015,0.015,0.0,0.0,0.025,0.0,0.025,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,110.0,90.0,
20,0.125,0.155,0.025,0.015,0.015,0.0,0.0,0.025,0.0,0.025,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,97.0,90.0,12.0
21,0.125,0.155,0.025,0.015,0.015,0.0,0.0,0.025,0.0,0.025,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,110.0,83.0,2.5
22,0.125,0.155,0.025,0.015,0.015,0.0,0.0,0.025,0.0,0.025,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,83.0,76.0,16.0
23,0.125,0.155,0.025,0.015,0.015,0.0,0.0,0.025,0.0,0.025,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,83.0,70.0,
24,0.125,0.155,0.025,0.015,0.015,0.0,0.0,0.025,0.0,0.025,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,83.0,70.0,
25,0.125,0.155,0.025,0.015,0.015,0.0,0.0,0.025,0.0,0.025,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,99.0,70.0,5.5
26,0.125,0.155,0.025,0.015,0.015,0.0,0.0,0.025,0.0,0.025,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,92.5,62.0,9.0
27,0.125,0.155,0.025,0.015,0.015,0.0,0.0,0.025,0.0,0.025,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,70.0,28.0,
28,0.125,0.155,0.025,0.015,0.015,0.0,0.0,0.025,0.0,0.025,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,25.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,69.0,28.0,43.0
29,0.125,0.155,0.025,0.015,0.015,0.0,0.0,0.025,0.0,0.025,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,58.0,17.0,
30,0.125,0.155,0.025,0.015,0.015,0.0,0.0,0.025,0.0,0.025,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,25.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,58.0,17.0,
31,0.125,0.155,0.025,0.015,0.015,0.0,0.0,0.025,0.0,0.025,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,76.5,17.0,30.0
32,0.125,0.155,0.025,0.015,0.015,0.0,0.0,0.025,0.0,0.025,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,25.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,76.5,17.0,
33,0.125,0.155,0.025,0.015,0.015,0.0,0.0,0.025,0.0,0.025,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,25.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,75.0,17.0,20.0
34,0.35,0.35,0.2,0.035,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,150.0,,
35,0.35,0.35,0.2,0.035,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,130.0,,
36,0.35,0.35,0.2,0.035,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,127.5,,
37,0.35,0.35,0.2,0.035,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,110.0,,
38,0.35,0.35,0.2,0.035,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.0,25.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,105.0,,
39,0.35,0.35,0.2,0.035,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.0,25.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,105.0,,
40,0.35,0.35,0.2,0.035,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,95.0,,
41,0.35,0.35,0.2,0.035,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,158.0,152.0,
42,0.35,0.35,0.2,0.035,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,158.0,152.0,4.0
43,0.35,0.35,0.2,0.035,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,150.0,
44,0.35,0.35,0.2,0.035,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,165.0,150.0,15.0
45,0.35,0.35,0.2,0.035,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,130.0,
46,0.35,0.35,0.2,0.035,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,143.0,127.0,
47,0.35,0.35,0.2,0.035,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,143.0,127.0,
48,0.35,0.35,0.2,0.035,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,110.0,
49,0.35,0.35,0.2,0.035,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,126.0,106.0,
50,0.35,0.35,0.2,0.035,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,126.0,106.0,
51,0.35,0.35,0.2,0.035,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,110.0,105.0,20.0
52,0.35,0.35,0.2,0.035,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,95.0,
53,0.35,0.35,0.2,0.035,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,111.0,89.0,
54,0.35,0.35,0.2,0.035,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,111.0,89.0,
55,0.35,0.35,0.2,0.035,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,84.0,38.0,
56,0.35,0.35,0.2,0.035,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.0,25.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,90.0,34.0,40.0
57,0.35,0.35,0.2,0.035,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.0,25.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,90.0,30.0,
58,0.35,0.35,0.2,0.035,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.0,25.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,90.0,30.0,
59,0.35,0.35,0.2,0.035,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.0,25.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,90.0,20.0,25.0
60,0.35,0.35,0.2,0.035,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.0,25.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,90.0,20.0,25.0
61,0.35,0.35,0.2,0.035,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.0,25.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,90.0,20.0,25.0
62,0.35,0.35,0.2,0.035,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,75.0,20.0,
63,0.35,0.35,0.2,0.035,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,75.0,20.0,
64,0.35,0.35,0.2,0.035,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,75.0,20.0,25.0
65,0.2,0.2,0.026,0.026,0.026,0.0,0.0,0.026,0.0,0.026,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,145.0,117.0,5.0
66,0.2,0.2,0.026,0.026,0.026,0.0,0.0,0.026,0.0,0.026,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,25.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,85.0,34.0,40.0
67,0.0014,0.0014,0.0014,0.0005,0.0014,0.0,0.0,0.0014,0.001,0.001,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,25.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,45.0,10.0,50.0
68,0.04,0.15,0.02,0.005,0.0,0.005,0.0,0.025,0.015,0.01,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,132.5,,
69,0.04,0.15,0.02,0.005,0.0,0.005,0.0,0.025,0.015,0.01,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,132.5,,
70,0.04,0.15,0.02,0.005,0.0,0.005,0.0,0.025,0.015,0.01,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,127.5,,2.5
71,0.04,0.15,0.02,0.005,0.0,0.005,0.0,0.025,0.015,0.01,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,127.5,,2.5
72,0.04,0.15,0.02,0.005,0.0,0.005,0.0,0.025,0.015,0.01,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,125.0,,2.5
